"LOCATION ACCOUNT #","BUSINESS NAME","DBA NAME","STREET ADDRESS","CITY","ZIP CODE","LOCATION DESCRIPTION","MAILING ADDRESS","MAILING CITY","MAILING ZIP CODE","NAICS","PRIMARY NAICS DESCRIPTION","COUNCIL DISTRICT","LOCATION START DATE","LOCATION END DATE","LOCATION"
"0000387039-0001-9","MOTHERS NUTRITIONAL CENTER INC",,"423 E FLORENCE AVENUE","LOS ANGELES","90003-2233","423 FLORENCE 90003-2233","13635 FREEWAY DRIVE","SANTA FE SPRINGS","90670-5622","445100","Grocery stores (including supermarkets & convenience stores without gas)","9","08/10/1996",,"POINT (-118.267 33.9747)"
"0000394686-0001-7","LOS ANGELES POLICE RELIEF ASSOCIATION INC",,"150 N LOS ANGELES","LOS ANGELES","90012-3302","150 LOS ANGELES 90012-3302","600 N GRAND AVENUE","LOS ANGELES","90012-2212","445100","Grocery stores (including supermarkets & convenience stores without gas)","14","08/01/1955",,"POINT (-118.2413 34.0515)"
"0000396536-0002-3","ARMANDO PUENTE","SELECTA SUPERMARKET","4364 W 3RD STREET","LOS ANGELES","90020-3825","4364 3RD 90020-3825",,,,"445100","Grocery stores (including supermarkets & convenience stores without gas)","10","08/01/2008",,"POINT (-118.3094 34.0689)"
"0000396846-0001-3","MAIN MARKET INC","MAIN MARKET","105 E 7TH STREET","LOS ANGELES","90014-2008","105 7TH 90014-2008",,,,"445100","Grocery stores (including supermarkets & convenience stores without gas)","14","10/01/1996",,"POINT (-118.2512 34.0439)"
"0000400359-0001-4","LEE HENG INC","B & B MINI-MART","4140 CRENSHAW BLVD","LOS ANGELES","90008-2502","4140 CRENSHAW 90008-2502","1512 OWENS COURT","ROSEMEAD","91770-1182","445100","Grocery stores (including supermarkets & convenience stores without gas)","8","04/14/1997",,"POINT (-118.3351 34.0092)"
"0000401512-0002-0","ESTEBAN M LOPEZ","EDEN L MARKET","11933 SANTA MONICA BLVD","LOS ANGELES","90025-2706","11933 SANTA MONICA 90025-2706","2522 W EDINGER AVENUE","SANTA ANA","92704-3520","445100","Grocery stores (including supermarkets & convenience stores without gas)","11","01/01/2012",,"POINT (-118.4608 34.0416)"
"0000408899-0001-8","THANH VAN TRAN","V I P SEAFOODS & POULTRY MARKET","843 S VERMONT AVENUE","LOS ANGELES","90005-1522","843 VERMONT 90005-1522",,,,"445100","Grocery stores (including supermarkets & convenience stores without gas)","10","12/01/1996",,"POINT (-118.2916 34.0566)"
"0000410558-0002-1","QAMAR UL HASSAN","JUNIOR MARKET","520 S OCCIDENTAL BLVD","LOS ANGELES","90057-1502","520 OCCIDENTAL 90057-1502","7838 BASSET COURT","CORONA","92880-3561","445100","Grocery stores (including supermarkets & convenience stores without gas)","1","05/01/2011",,"POINT (-118.2841 34.0641)"
"0000413353-0001-5","SUPER CENTER CONCEPTS INC","SUPERIOR GROCERS","10211 AVALON BLVD","LOS ANGELES","90003-4819","10211 AVALON 90003-4819","15510 CARMENITA ROAD","SANTA FE SPRINGS","90670-5610","445100","Grocery stores (including supermarkets & convenience stores without gas)","8","12/20/1995",,"POINT (-118.2651 33.9436)"
"0000413353-0004-0","SUPER CENTER CONCEPTS INC","SUPERIOR GROCERS | SUPERIOR SUPER WAREHOUSE","8811 S WESTERN AVENUE","LOS ANGELES","90047-3329","8811 WESTERN 90047-3329","15510 CARMENITA ROAD","SANTA FE SPRINGS","90670-5610","445100","Grocery stores (including supermarkets & convenience stores without gas)","8","12/12/1997",,"POINT (-118.309 33.9579)"
"0000413353-0005-8","SUPER CENTER CONCEPTS INC","SUPERIOR GROCERS","5824 S VERMONT AVENUE","LOS ANGELES","90044-3712","5824 VERMONT 90044-3712","15510 CARMENITA ROAD","SANTA FE SPRINGS","90670-5610","445100","Grocery stores (including supermarkets & convenience stores without gas)","9","06/27/2003",,"POINT (-118.2914 33.9891)"
"0000413353-0007-4","SUPER CENTER CONCEPTS INC","SUPERIOR GROCERS","133 W AVENUE 45","LOS ANGELES","90065-3022","133 AVENUE 45 90065-3022","15510 CARMENITA ROAD","SANTA FE SPRINGS","90670-5610","445100","Grocery stores (including supermarkets & convenience stores without gas)","1","10/23/2006",,"POINT (-118.2082 34.0964)"
"0000413353-0008-2","SUPER CENTER CONCEPTS INC","SUPERIOR GROCERS","2000 S CENTRAL AVENUE","LOS ANGELES","90011-1235","2000 CENTRAL 90011-1235","15510 CARMENITA ROAD","SANTA FE SPRINGS","90670-5610","445100","Grocery stores (including supermarkets & convenience stores without gas)","9","05/18/2009",,"POINT (-118.2516 34.0232)"
"0000413353-0009-1","SUPER CENTER CONCEPTS INC","SUPERIOR GROCERS","3480 S LA BREA AVENUE","LOS ANGELES","90016-5258","3480 LA BREA 90016-5258","15510 CARMENITA ROAD","SANTA FE SPRINGS","90670-5610","445100","Grocery stores (including supermarkets & convenience stores without gas)","10","11/05/2012",,"POINT (-118.3554 34.024)"
"0000413353-0010-4","SUPER CENTER CONCEPTS INC","SUPERIOR GROCERS | SUPERIOR GROCERS 201","4040 W WASHINGTON BLVD","LOS ANGELES","90018-1064","4040 WASHINGTON 90018-1064","15510 CARMENITA ROAD","SANTA FE SPRINGS","90670-5610","445100","Grocery stores (including supermarkets & convenience stores without gas)","10","04/03/2019",,"POINT (-118.3278 34.0397)"
"0000413645-0001-5","GALCO OLD WORLD GROCERY /C","GALCO OLD WORLD GROCERY","5702 YORK BLVD","LOS ANGELES","90042-2617","5702 YORK 90042-2617",,,,"445100","Grocery stores (including supermarkets & convenience stores without gas)","14","04/01/1956",,"POINT (-118.1936 34.1188)"
"0000415543-0001-2","HEAP KIM HIM","JEANS MARKET","919 FOREST AVENUE","LOS ANGELES","90033-2625","919 FOREST 90033-2625",,,,"445100","Grocery stores (including supermarkets & convenience stores without gas)","14","02/12/2004",,"POINT (-118.1984 34.0498)"
"0000419192-0001-2","WALSUNG, INC.","HWANG HAE DOE RESTAURANT","429 N WESTERN AVENUE UNIT #7","LOS ANGELES","90004-2600","429 WESTERN 90004-2600",,,,"445100","Grocery stores (including supermarkets & convenience stores without gas)","10","02/15/2001",,"POINT (-118.3091 34.0788)"
"0000420103-0001-5","JOEL BERNAL","MERCADO GARIBALDI","4212 S CENTRAL AVENUE","LOS ANGELES","90011-3002","4212 CENTRAL 90011-3002",,,,"445100","Grocery stores (including supermarkets & convenience stores without gas)","9","04/05/2001",,"POINT (-118.2565 34.0073)"
"0000424702-0001-9","TSUNAMI 2001 CORP","MAPLE LIQUOR JR MARKET","10421 S WESTERN AVENUE","LOS ANGELES","90047-4456","10421 WESTERN 90047-4456",,,,"445100","Grocery stores (including supermarkets & convenience stores without gas)","0","03/30/2001",,"POINT (-118.309 33.9416)"
"0000427136-0001-1","FLORA DEL CARMEN GUEVARA","KING SERVICE","10420 AVALON BLVD","LOS ANGELES","90003-4923","10420 AVALON 90003-4923","339 E 105TH STREET","LOS ANGELES","90003-4910","445100","Grocery stores (including supermarkets & convenience stores without gas)","8","01/01/2000",,"POINT (-118.2651 33.9417)"
"0000430846-0001-7","ARBAT ENTERPRISES INC",,"5001 HOLLYWOOD BLVD","LOS ANGELES","90027-6103","5001 HOLLYWOOD 90027-6103",,,,"445100","Grocery stores (including supermarkets & convenience stores without gas)","13","10/01/2001",,"POINT (-118.2983 34.1017)"
"0000437318-0001-5","Y/B ENTERPRISES INC","SUPER BUY LIQUOR","7224 S VERMONT AVENUE","LOS ANGELES","90044-5125","7224 VERMONT 90044-5125",,,,"445100","Grocery stores (including supermarkets & convenience stores without gas)","8","02/01/1983",,"POINT (-118.2914 33.9742)"
"0000441764-0001-1","VILLALOBOS MARKET, INC.","VILLALOBOS MARKET","5244 SANTA MONICA BLVD","LOS ANGELES","90029-1210","5244 SANTA MONICA 90029-1210",,,,"445100","Grocery stores (including supermarkets & convenience stores without gas)","13","12/01/1996",,"POINT (-118.3047 34.0907)"
"0000443849-0001-9","FERNANDO C GUERRERO","NUEVO MUNDO MARKET","1735 W 7TH STREET","LOS ANGELES","90017-2138","1735 7TH 90017-2138",,,,"445100","Grocery stores (including supermarkets & convenience stores without gas)","1","03/01/1983",,"POINT (-118.2729 34.0547)"
"0000467986-0001-0","KAREEN M SANTANA/MARIA M SANCHEZ","BO'S MARKET | BO'S MINI MARKET","11701 S BROADWAY","LOS ANGELES","90061-1813","11701 BROADWAY 90061-1813","11701 S BROADWAY","LOS ANGELES","90061-1813","445100","Grocery stores (including supermarkets & convenience stores without gas)","15","01/01/2001",,"POINT (-118.2782 33.9272)"
"0000468080-0002-4","CHAN HUI YIM","PLAZA MARKET","106 W MANCHESTER AVENUE UNIT #D","LOS ANGELES","90003-3300","106 MANCHESTER 90003-3300",,,,"445100","Grocery stores (including supermarkets & convenience stores without gas)","8","01/10/2012",,"POINT (-118.2739 33.96)"
"0000469221-0001-2","VAROUJ KHANBABAIAN","AMERIKAZ ROUTE 66 TIRE","7021 N FIGUEROA STREET","LOS ANGELES","90042-1247","7021 FIGUEROA 90042-1247",,,,"445100","Grocery stores (including supermarkets & convenience stores without gas)","14","12/18/2001",,"POINT (-118.1881 34.1297)"
"0000471476-0003-4","HAEYANG BYUN","Y AND Y MARKET | Y & Y MARKET","373 W 39TH STREET","LOS ANGELES","90037-1428","373 39TH 90037-1428","373 W 39TH STREET","LOS ANGELES","90037-1428","445100","Grocery stores (including supermarkets & convenience stores without gas)","9","08/15/2007",,"POINT (-118.2796 34.0133)"
"0000471948-0001-7","TIN BO CO INC","TIN BO CO","841 N BROADWAY","LOS ANGELES","90012-2309","841 BROADWAY 90012-2309",,,,"445100","Grocery stores (including supermarkets & convenience stores without gas)","1","06/20/1997",,"POINT (-118.2378 34.0632)"
"0000476110-0001-1","LUIS A BONILLA","EL MIGUELENO MINI MARKET","2688 W PICO BLVD #1","LOS ANGELES","90006-3915","2688 PICO 90006-3915","2688 W PICO BLVD #1","LOS ANGELES","90006-3915","445100","Grocery stores (including supermarkets & convenience stores without gas)","1","06/15/1997",,"POINT (-118.2971 34.0472)"
"0000477262-0001-3","CHEVRON STATIONS INC","CHEVRON STATIONS INC #1937/98119 | CHEVRON STATIONS INC#1937/98119","7368 N FIGUEROA STREET","LOS ANGELES","90041-2547","7368 FIGUEROA 90041-2547","POST OFFICE BOX #6003","SAN RAMON","94583-0903","445100","Grocery stores (including supermarkets & convenience stores without gas)","14","03/27/2001",,"POINT (-118.1876 34.1376)"
"0000484677-0001-7","WEST LAKE MARKET INC","SAMS CORNER LIQUOR","2001 W 6TH STREET","LOS ANGELES","90057-3165","2001 6TH 90057-3165",,,,"445100","Grocery stores (including supermarkets & convenience stores without gas)","1","05/18/1984",,"POINT (-118.2736 34.0589)"
"0000494604-0001-4","WILLIAM/YOUNG LEE 2001 REVOCABLE TRUST","GREEN CIRCLE MARKET","1840 W 3RD STREET","LOS ANGELES","90057-2302","1840 3RD 90057-2302",,,,"445100","Grocery stores (including supermarkets & convenience stores without gas)","1","01/27/1984",,"POINT (-118.2695 34.0615)"
"0000511786-0001-3","QUINCY GLOBAL ENTERPRISES INC","3-MINUTE MINI MARKET","8861 S BROADWAY","LOS ANGELES","90003-3634","8861 BROADWAY 90003-3634",,,,"445100","Grocery stores (including supermarkets & convenience stores without gas)","8","02/09/1987",,"POINT (-118.2781 33.9564)"
"0000514519-0001-7","JUAN D DUARTE","7 N 8 FOODSTORE","747 S WESTLAKE AVENUE","LOS ANGELES","90057-4125","747 WESTLAKE 90057-4125",,,,"445100","Grocery stores (including supermarkets & convenience stores without gas)","1","07/01/1997",,"POINT (-118.2761 34.0551)"
"0000526898-0001-7","GALLERIA MARKET, LP","GALLERIA MARKET","3250 W OLYMPIC BLVD #100","LOS ANGELES","90006-2370","3250 OLYMPIC 90006-2370","3250 W OLYMPIC BLVD UNIT #100","LOS ANGELES","90006-2370","445100","Grocery stores (including supermarkets & convenience stores without gas)","10","08/01/2001",,"POINT (-118.3074 34.0526)"
"0000536350-0001-1","PEKING POULTRY INC",,"717 N BROADWAY","LOS ANGELES","90012-6115","717 BROADWAY 90012-6115",,,,"445100","Grocery stores (including supermarkets & convenience stores without gas)","1","12/01/2001",,"POINT (-118.2391 34.0606)"
"0000537297-0001-7","GEORGE MAGALLON","VINCE'S MARKET","3250 SILVER LAKE BLVD","LOS ANGELES","90039-2254","3250 SILVER LAKE 90039-2254",,,,"445100","Grocery stores (including supermarkets & convenience stores without gas)","13","08/02/1986",,"POINT (-118.2539 34.1139)"
"0000542787-0001-4","FORTUNE COMMERCIAL RESOURCES INC","SEAFOOD CITY SUPERMARKET","134 S VERMONT AVENUE","LOS ANGELES","90004-5905","134 VERMONT 90004-5905","2883 SURVEYOR STREET","POMONA","91768-3251","445100","Grocery stores (including supermarkets & convenience stores without gas)","13","11/13/1997",,"POINT (-118.2916 34.072)"
"0000546939-0001-1","SUPER JORDAN INC","FARID AHMAD KHANLOU/JORDAN MARKET","1449 WESTWOOD BLVD","LOS ANGELES","90024-4911","1449 WESTWOOD 90024-4911",,,,"445100","Grocery stores (including supermarkets & convenience stores without gas)","5","06/15/1987",,"POINT (-118.4412 34.0546)"
"0000551638-0003-8","ALVARO MATEOS BRAVO","SUSANA'S MINI MARKET","5421 DENKER AVENUE","LOS ANGELES","90062-2829","5421 DENKER 90062-2829",,,,"445100","Grocery stores (including supermarkets & convenience stores without gas)","8","06/25/2007",,"POINT (-118.3045 33.993)"
"0000554228-0002-5","OFELIA ROJAS","AMERICA'S MEAT MARKET","2500 S CENTRAL AVENUE","LOS ANGELES","90011-1635","2500 Central 90011-1635",,,,"445100","Grocery stores (including supermarkets & convenience stores without gas)","9","07/12/2021",,"POINT (-118.2543 34.0196)"
"0000554496-0001-0","TRADER JOE'S CO","TRADER JOE'S D#7","10850 NATIONAL BLVD","LOS ANGELES","90064-4123","10850 NATIONAL 90064-4123","POST OFFICE BOX #8000","MONSEY","10952-8505","445100","Grocery stores (including supermarkets & convenience stores without gas)","5","01/01/1960",,"POINT (-118.4216 34.0302)"
"0000554496-0002-8","TRADER JOE'S CO","TRADER JOES MARKET #55","1566 COLORADO BLVD","LOS ANGELES","90041-1441","1566 COLORADO 90041-1441","POST OFFICE BOX #8000","MONSEY","10952-8505","445100","Grocery stores (including supermarkets & convenience stores without gas)","14","09/01/1969",,"POINT (-118.2001 34.1395)"
"0000554496-0006-1","TRADER JOE'S CO","TRADER JOES NO 33","8645 S SEPULVEDA BLVD","LOS ANGELES","90045-4001","8645 SEPULVEDA 90045-4001","POST OFFICE BOX #8000","MONSEY","10952-8505","445100","Grocery stores (including supermarkets & convenience stores without gas)","11","10/30/1979",,"POINT (-118.3962 33.9592)"
"0000554496-0008-7","TRADER JOE'S CO","TRADER JOES #17","2738 HYPERION AVENUE","LOS ANGELES","90027-3002","2738 HYPERION 90027-3002","POST OFFICE BOX #8000","MONSEY","10952-8505","445100","Grocery stores (including supermarkets & convenience stores without gas)","4","11/01/1991",,"POINT (-118.2721 34.1072)"
"0000554496-0010-9","TRADER JOE'S CO","TRADER JOE'S #31","263 S LA BREA AVENUE","LOS ANGELES","90036-3022","263 LA BREA 90036-3022","POST OFFICE BOX #8000","MONSEY","10952-8505","445100","Grocery stores (including supermarkets & convenience stores without gas)","5","09/20/1996",,"POINT (-118.344 34.0696)"
"0000554496-0011-7","TRADER JOE'S CO","TRADER JOE'S #119","3456 S SEPULVEDA BLVD","LOS ANGELES","90034-6010","3456 SEPULVEDA 90034-6010","POST OFFICE BOX #8000","MONSEY","10952-8505","445100","Grocery stores (including supermarkets & convenience stores without gas)","5","10/16/2001",,"POINT (-118.4228 34.0201)"
"0000554496-0015-0","TRADER JOE'S CO",,"1000 GLENDON AVENUE","LOS ANGELES","90024-2908","1000 GLENDON 90024-2908","POST OFFICE BOX #8000","MONSEY","10952-8505","445100","Grocery stores (including supermarkets & convenience stores without gas)","5","10/02/2008",,"POINT (-118.444 34.0625)"
"0000554496-0016-8","TRADER JOE'S CO","TRADER JOE'S #192","8000 W SUNSET BLVD SUITE #C120","LOS ANGELES","90046-2443","8000 SUNSET 90046-2443","POST OFFICE BOX #8000","MONSEY","10952-8505","445100","Grocery stores (including supermarkets & convenience stores without gas)","13","03/13/2009",,"POINT (-118.3644 34.098)"
"0000554496-0017-6","TRADER JOE'S CO","TRADER JOE'S #215","11755 W OLYMPIC BLVD","LOS ANGELES","90064-1211","11755 OLYMPIC 90064-1211","POST OFFICE BOX #8000","MONSEY","10952-8505","445100","Grocery stores (including supermarkets & convenience stores without gas)","11","07/31/2009",,"POINT (-118.4488 34.0336)"
"0000554496-0018-4","TRADER JOE'S CO","TRADER JOE'S #206 | TRADER JOES COMPANY #206","1600 VINE STREET","LOS ANGELES","90028-8818","1600 VINE 90028-8818","POST OFFICE BOX #8000","MONSEY","10952-8505","445100","Grocery stores (including supermarkets & convenience stores without gas)","13","05/21/2010",,"POINT (-118.3266 34.0998)"
"0000554496-0019-2","TRADER JOE'S CO","TRADER JOE'S #240","175 S FAIRFAX AVENUE SUITE #E","LOS ANGELES","90036-2106","175 FAIRFAX 90036-2106","POST OFFICE BOX #8000","MONSEY","10952-8505","445100","Grocery stores (including supermarkets & convenience stores without gas)","5","04/20/2012",,"POINT (-118.3614 34.0724)"
"0000554496-0021-4","TRADER JOE'S CO","TRADER JOE'S #250","3131 S HOOVER STREET SUITE #1920","LOS ANGELES","90089-8500","3131 HOOVER 90089-8500","POST OFFICE BOX #8000","MONSEY","10952-8505","445100","Grocery stores (including supermarkets & convenience stores without gas)","9","07/28/2017",,"POINT (-118.284 34.0266)"
"0000556332-0001-6","KARIM KURDI","MAR VISTA RANCH MARKET","12420 VENICE BLVD #105","LOS ANGELES","90066-3830","12420 VENICE 90066-3830","3464 ATWATER AVENUE","LOS ANGELES","90039-1916","445100","Grocery stores (including supermarkets & convenience stores without gas)","11","09/01/2001",,"POINT (-118.4338 34.0034)"
"0000559330-0001-9","IMTIAZ ALI","BUBBA GEE MARKET","1965 RODNEY DRIVE APT #109","LOS ANGELES","90027-3169","1965 RODNEY 90027-3169","1965 RODNEY DRIVE APT #109","LOS ANGELES","90027-3169","445100","Grocery stores (including supermarkets & convenience stores without gas)","4","08/08/2001",,"POINT (-118.2893 34.1072)"
"0000563487-0001-0","YONG KIL KIM","A & A LIQUOR","6709 S NORMANDIE AVENUE","LOS ANGELES","90044-2568","6709 NORMANDIE 90044-2521",,,,"445100","Grocery stores (including supermarkets & convenience stores without gas)","8","03/20/1996",,"POINT (-118.3002 33.9784)"
"0000572697-0001-9","MANUEL A ORTEGA / MAXIMIANA BARAJAS","TODOS MARKET","1888 W ADAMS BLVD","LOS ANGELES","90018-2747","1888 ADAMS 90018-2747",,,,"445100","Grocery stores (including supermarkets & convenience stores without gas)","8","01/01/1987",,"POINT (-118.3057 34.0326)"
"0000576645-0002-9","BLANCA E MENDOZA","RJ'S MARKET","4645 BOWMAN BLVD","LOS ANGELES","90032-2041","4645 BOWMAN 90032-2041",,,,"445100","Grocery stores (including supermarkets & convenience stores without gas)","14","01/03/2017",,"POINT (-118.1832 34.0814)"
"0000579716-0001-4","TAPOVAN INC","7 ELEVEN 2136-33028A | 7 ELEVEN STORE 33028B","2200 W SUNSET BLVD","LOS ANGELES","90026-3002","2200 SUNSET 90026-3002","POST OFFICE BOX #219088","DALLAS","75221-9088","445100","Grocery stores (including supermarkets & convenience stores without gas)","13","12/12/2001",,"POINT (-118.266 34.0778)"
"0000589862-0002-7","LUIS MORENO/CAMERINA MORENO","CORONA MARKET","2800 MAPLE AVENUE","LOS ANGELES","90011-1436","2800 MAPLE 90011-1436",,,,"445100","Grocery stores (including supermarkets & convenience stores without gas)","9","12/08/2012",,"POINT (-118.2664 34.0218)"
"0000593726-0001-7","CHURCH OF JESUS CHRIST OF LATTER-DAY SAINTS",,"1540 S SOTO STREET","LOS ANGELES","90023-2630","1540 SOTO 90023","50 E NORTH TEMPLE","SALT LAKE CITY","84150-0002","445100","Grocery stores (including supermarkets & convenience stores without gas)","14","07/01/1987",,"POINT (-118.2201 34.0215)"
"0000603186-0001-8","SIMPANG ASIA LLC","SIMPANG ASIA | SIMPANG ASIA LLC","10433 NATIONAL BLVD #2","LOS ANGELES","90034-4681","10433 NATIONAL 90034-4681",,,,"445100","Grocery stores (including supermarkets & convenience stores without gas)","5","04/01/2002",,"POINT (-118.4122 34.0291)"
"0000606436-0001-6","99 CENTS ONLY STORES","99¿ ONLY STORE #13","1516 W PICO BLVD","LOS ANGELES","90015-2408","1516 PICO 90015-2408","10105 E VIA LINDA SUITE #103","SCOTTSDALE","85258-5346","445100","Grocery stores (including supermarkets & convenience stores without gas)","1","10/25/1987",,"POINT (-118.2756 34.044)"
"0000607559-0001-2","HK LA LP","H K SUPERMARKET","124 N WESTERN AVENUE","LOS ANGELES","90004-4106","124 WESTERN 90004-4106","3250 W OLYMPIC BLVD UNIT #100","LOS ANGELES","90006-2370","445100","Grocery stores (including supermarkets & convenience stores without gas)","10","10/21/1987",,"POINT (-118.3091 34.0736)"
"0000616796-0001-9","F & Y KOSHER MEAT MARKET CORP","SINAI KOSHER MARKET","8680 W PICO BLVD","LOS ANGELES","90035-2313","8680 PICO 90035-2313",,,,"445100","Grocery stores (including supermarkets & convenience stores without gas)","5","09/06/2000",,"POINT (-118.381 34.0542)"
"0000619328-0001-1","DESS WOLDEMARIAM/FASIL ASSEFA","7-ELEVEN STORE 25330C","5791 RODEO ROAD","LOS ANGELES","90016-5013","5791 RODEO 90016-5013","POST OFFICE BOX #219088","DALLAS","75221-9088","445100","Grocery stores (including supermarkets & convenience stores without gas)","10","11/21/1987",,"POINT (-118.372 34.0216)"
"0000622460-0001-3","HARE K NATH","ASIAN MART","3732 W 3RD STREET","LOS ANGELES","90020-2305","3732 3RD 90020-2305",,,,"445100","Grocery stores (including supermarkets & convenience stores without gas)","10","05/01/2002",,"POINT (-118.297 34.069)"
"0000627301-0002-2","HANSUNG & MYUNGHEE, INC.","LEE'S MARKET","2930 W PICO BLVD","LOS ANGELES","90006-3807","2930 PICO 90006-3807",,,,"445100","Grocery stores (including supermarkets & convenience stores without gas)","10","08/05/2009",,"POINT (-118.304 34.0472)"
"0000641651-0001-6","HAN NAM CHAIN USA INC","HAN NAM CHAIN SUPERMARKET","2740 W OLYMPIC BLVD","LOS ANGELES","90006-2633","2740 OLYMPIC 90006-2633",,,,"445100","Grocery stores (including supermarkets & convenience stores without gas)","10","05/23/1988",,"POINT (-118.2931 34.0526)"
"0000648695-0001-0","KAZI ABUL & PARIEN HOSSIAN","ABC MARKET","2100 WORKMAN STREET","LOS ANGELES","90031-3035","2100 WORKMAN 90031-3035",,,,"445100","Grocery stores (including supermarkets & convenience stores without gas)","1","08/01/2002",,"POINT (-118.2142 34.0694)"
"0000648780-0001-1","RAHEL VEGAN INC","RAHEL'S INTERNATIONAL VEGGIE CUISINE","1047 S FAIRFAX AVENUE","LOS ANGELES","90019-4402","1047 FAIRFAX 90019-4402",,,,"445100","Grocery stores (including supermarkets & convenience stores without gas)","10","01/01/2002",,"POINT (-118.3643 34.057)"
"0000649921-0001-8","MOHINI LLC","7-ELEVEN STORE 24171C","2512 S FIGUEROA STREET","LOS ANGELES","90007-2549","2512 FIGUEROA 90007-2549","POST OFFICE BOX #219088","DALLAS","75221-9088","445100","Grocery stores (including supermarkets & convenience stores without gas)","1","07/18/1989",,"POINT (-118.2755 34.0289)"
"0000650242-0001-3","MOHAMMED S MEAH","BENS MARKET","2424 W 6TH STREET","LOS ANGELES","90057-3122","2424 6TH 90057-3122",,,,"445100","Grocery stores (including supermarkets & convenience stores without gas)","1","11/17/1997",,"POINT (-118.279 34.0613)"
"0000654479-0001-1","MAXIMO/CONCEPCION VILLALTA","GOLFO DE FONSECA MARKET","804 N VERMONT AVENUE","LOS ANGELES","90029-3517","804 VERMONT 90029-3517",,,,"445100","Grocery stores (including supermarkets & convenience stores without gas)","13","07/01/2001",,"POINT (-118.2917 34.0859)"
"0000654496-0001-5","ERNESTINA HERNANDEZ","MARCES MINI MARKET","4162 AVALON BLVD","LOS ANGELES","90011-5643","4162 AVALON 90011-5643",,,,"445100","Grocery stores (including supermarkets & convenience stores without gas)","9","04/01/2002",,"POINT (-118.2652 34.008)"
"0000654930-0001-7","CHANG CHOI/JI YEON CHOI/SAMUEL LIM/JEANNIE LIM","EL RANCHO GROCERY MARKET","960 VINE STREET","LOS ANGELES","90038-2714","960 VINE 90038-2714",,,,"445100","Grocery stores (including supermarkets & convenience stores without gas)","13","04/15/2002",,"POINT (-118.3266 34.0882)"
"0000666872-0001-3","HA HAN","H & L AQUA WATER","4507 VALLEY BLVD","LOS ANGELES","90032-3781","4507 VALLEY 90032-3781",,,,"445100","Grocery stores (including supermarkets & convenience stores without gas)","14","01/01/1998",,"POINT (-118.1877 34.0627)"
"0000679519-0001-7","SUPER TOCHAL INC","TOCHAL MARKET","1418 WESTWOOD BLVD","LOS ANGELES","90024-4912","1418 WESTWOOD 90024-4912",,,,"445100","Grocery stores (including supermarkets & convenience stores without gas)","5","04/29/2002",,"POINT (-118.4415 34.055)"
"0000682889-0001-2","FRANCISCO LOPEZ GARCIA","PANCHOS GARDENER","2138 S PALM GROVE AVENUE","LOS ANGELES","90016-2318","2138 PALM GROVE 90016-2318",,,,"445100","Grocery stores (including supermarkets & convenience stores without gas)","10","05/15/2002",,"POINT (-118.3427 34.0366)"
"0000689666-0001-6","HONG CHAN BAE","FARM FRESH DAIRY","9803 AVALON BLVD","LOS ANGELES","90003-4314","9803 AVALON 90003-4314",,,,"445100","Grocery stores (including supermarkets & convenience stores without gas)","8","12/01/1988",,"POINT (-118.2651 33.9473)"
"0000692182-0001-0","EUH HI CHOI/SUNNY SUN CHU CHOI","COMPTON MARKET & LIQUOR","4187 COMPTON AVENUE","LOS ANGELES","90011-3331","4187 COMPTON 90011-3331",,,,"445100","Grocery stores (including supermarkets & convenience stores without gas)","9","08/29/2002",,"POINT (-118.2473 34.0067)"
"0000695819-0001-5","CUAUHTEMOC/REYNA I. VALLEJO","SAN DIEGO MARKET","1131 S UNION AVENUE","LOS ANGELES","90015-2029","1131 UNION 90015-2029",,,,"445100","Grocery stores (including supermarkets & convenience stores without gas)","1","01/10/1989",,"POINT (-118.2755 34.0469)"
"0000707131-0002-0","ABIOLA A DELU","TOYIN MINI MARKET","1636 W VERNON AVENUE","LOS ANGELES","90062-1611","1636 Vernon 90062-1611",,,,"445100","Grocery stores (including supermarkets & convenience stores without gas)","8","01/02/2022",,"POINT (-118.3081 34.0034)"
"0000709286-0001-5","CARNICERIA LA OAXAQUENA INC","CARNICERIA LA OAXAQUENA","3701 W PICO BLVD","LOS ANGELES","90019-3451","3701 PICO 90019-3451",,,,"445100","Grocery stores (including supermarkets & convenience stores without gas)","10","10/01/2002",,"POINT (-118.3213 34.0473)"
"0000720665-0001-3","SOON IL PARK","WESTERN GROCERY","3725 S WESTERN AVENUE","LOS ANGELES","90018-4434","3725 WESTERN 90018-4434",,,,"445100","Grocery stores (including supermarkets & convenience stores without gas)","8","05/22/1989",,"POINT (-118.3089 34.0199)"
"0000730146-0001-6","ISIDRO SALVADOR LUIS","MARISELA MINI MARKET","2146 VENICE BLVD","LOS ANGELES","90006-5240","2146 VENICE 90006",,,,"445100","Grocery stores (including supermarkets & convenience stores without gas)","10","10/01/2002",,"POINT (-118.3042 34.0435)"
"0000730849-0001-7","WILLIAM YOUNG WON KIM","SHOW PLACE LIQUOR","3401 VENICE BLVD","LOS ANGELES","90019-6116","3401 VENICE 90019-6116",,,,"445100","Grocery stores (including supermarkets & convenience stores without gas)","10","09/01/2002",,"POINT (-118.3213 34.0435)"
